"","educ","degree","rincome","wealth","poleff11","poleff18","poleff19","poleff20","polinter","news","newsfrom","polnews","partyid","grpparty","mobile16","marital","racecen1","race","region","sex","age","vote12bin"
"183",12,"high school","$10000 - 14999",NA,NA,"strongly disagree","neither agree nor disagree","strongly agree","",NA,"family",NA,"ind,near rep",NA,"different state","married","white","white","pacific","female",79,1
"184",11,"lt high school",NA,"less than $5,000","agree",NA,NA,NA,NA,"never","tv",NA,"strong democrat",NA,"different state","divorced","black or african american","black","pacific","female",78,1
"185",12,"high school","$25000 or more",NA,"strongly agree","strongly agree","disagree","strongly disagree","have done it in the past year",NA,"the internet","3-4 days a week","ind,near dem",NA,"same city","never married","white","white","pacific","male",27,0
"186",14,"high school","$15000 - 19999",NA,"neither agree nor disagree","neither agree nor disagree",NA,"neither agree nor disagree","have done it in the more distant past",NA,NA,NA,"ind,near dem","used to belong","same city","never married","american indian or alaska native","other","pacific","female",20,1
"187",12,"high school",NA,NA,"agree",NA,NA,NA,"have not done it and would never do  it","everyday","government agencies",NA,"ind,near rep","never belonged","same st,dif city","divorced","white","white","pacific","male",63,0
"188",13,"high school",NA,"$5,000 to $20,000","agree",NA,NA,NA,NA,"less than once wk",NA,"several times a day","not str democrat",NA,"same city","never married","black or african american","black","pacific","male",25,0
"189",12,"high school","$15000 - 19999","less than $5,000","agree",NA,"strongly disagree",NA,"have not done it and would never do  it",NA,NA,"less than 1 day a week","not str democrat","never belonged","different state","married","white","white","pacific","female",32,0
"190",5,"lt high school","$7000 to 7999","$5,000 to $20,000",NA,NA,"neither agree nor disagree",NA,"have done it in the past year","once a week","tv",NA,"not str democrat","never belonged","same city","never married","black or african american","black","pacific","female",34,1
"191",16,"bachelor",NA,NA,"disagree","disagree",NA,NA,"have done it in the more distant past",NA,"magazines","less than 1 day a week","ind,near dem","used to belong","same st,dif city","married","japanese","other","pacific","male",46,1
"192",9,"lt high school","$20000 - 24999","$5,000 to $20,000","neither agree nor disagree","neither agree nor disagree","disagree","agree","have not done it and would never do  it",NA,NA,"less than 1 day a week","independent","never belonged","different state","married","white","white","pacific","male",50,0
"193",11,"high school","$8000 to 9999","$100,000 to $150,000",NA,NA,NA,"disagree","have not done it but might do it",NA,NA,"","ind,near dem","used to belong","same st,dif city","separated","hispanic","other","pacific","female",34,1
"194",11,"lt high school",NA,NA,"neither agree nor disagree",NA,NA,"agree","have done it in the past year",NA,NA,"never","independent","never belonged","same city","never married","white","white","pacific","female",22,0
"195",6,"lt high school",NA,"$500,000 to $1 million",NA,"strongly agree",NA,"agree","","less than once wk","radio",NA,"not str democrat",NA,"different state","married","white","white","pacific","male",35,0
"196",6,"lt high school","$15000 - 19999","$5,000 to $20,000","neither agree nor disagree","disagree",NA,"agree",NA,"never","the internet",NA,"ind,near dem",NA,"different state","married","white","white","pacific","female",41,0
"197",3,"lt high school","$3000 to 3999",NA,NA,NA,NA,"agree",NA,NA,"family","once a day","independent","never belonged","same city","married","white","white","pacific","female",53,0
"198",6,"lt high school","$1000 to 2999",NA,"strongly agree","strongly disagree",NA,"neither agree nor disagree","have not done it but might do it","never","family",NA,"not str republican",NA,"different state","married","white","white","pacific","female",54,0
"199",20,"high school","$1000 to 2999",NA,NA,NA,"agree",NA,"have done it in the past year",NA,"the internet",NA,"ind,near rep","belong and actively participate","different state","never married","hispanic","other","pacific","female",50,1
"200",11,"lt high school","$10000 - 14999",NA,"agree","disagree",NA,NA,NA,"less than once wk","tv","once a day","strong democrat","belong and actively participate","different state","married","white","white","pacific","female",27,0
"201",9,"lt high school","$15000 - 19999",NA,"neither agree nor disagree","disagree",NA,NA,NA,NA,"the internet",NA,"ind,near dem",NA,"different state","married","hispanic","other","pacific","male",56,1
"202",16,"high school","$25000 or more",NA,"neither agree nor disagree",NA,"agree","disagree",NA,"everyday","the internet",NA,"independent","used to belong","same city","married","american indian or alaska native","other","pacific","male",46,1
"203",2,"lt high school","$15000 - 19999",NA,"agree",NA,NA,"agree","have not done it and would never do  it",NA,"newspapers","once a day","strong democrat","never belonged","different state","married","white","white","pacific","female",68,1
"204",14,"high school","lt $1000","less than $5,000","agree","strongly disagree",NA,"strongly disagree","have done it in the past year","everyday","the internet",NA,"not str democrat","used to belong","different state","separated","white","white","pacific","female",41,1
"205",12,"lt high school","$6000 to 6999","$100,000 to $150,000",NA,"neither agree nor disagree","strongly agree","strongly disagree",NA,"less than once wk",NA,"once a day","independent",NA,"same st,dif city","married","white","white","pacific","male",29,0
"206",14,"high school","$10000 - 14999",NA,"disagree",NA,"strongly agree","strongly agree",NA,"once a week","newspapers","1-2 days a week","ind,near dem","never belonged","different state","married","filipino","other","pacific","female",61,1
"207",16,"high school","$25000 or more",NA,NA,NA,"strongly agree","strongly disagree",NA,"less than once wk",NA,"3-4 days a week","ind,near rep","belong and actively participate","same city","married","white","white","pacific","male",56,0
"208",12,"high school",NA,NA,"neither agree nor disagree",NA,"neither agree nor disagree","agree",NA,"never","the internet","3-4 days a week","not str republican",NA,"same city","divorced","white","white","pacific","female",33,0
"209",16,"bachelor",NA,"less than $5,000",NA,"strongly disagree","strongly disagree","neither agree nor disagree","","few times a week",NA,"","not str democrat","belong but dont participate","same st,dif city","never married","other asian","other","pacific","female",24,0
"210",14,"high school","$25000 or more",NA,"neither agree nor disagree","disagree","agree",NA,"have done it in the past year","everyday","friends colleagues",NA,"strong democrat","belong but dont participate","different state","married","white","white","pacific","male",69,1
"211",17,"graduate","$3000 to 3999",NA,"agree","agree",NA,NA,NA,NA,"newspapers",NA,"strong democrat","belong but dont participate","different state","married","white","white","pacific","male",61,1
"212",13,"high school","$10000 - 14999","$250,000 to $500,000","disagree","disagree","strongly agree","strongly disagree",NA,"less than once wk","radio",NA,"ind,near dem","belong and actively participate","different state","widowed","black or african american","black","pacific","female",76,1
"213",12,"high school","$15000 - 19999","$150,000 to $250,000","neither agree nor disagree","disagree",NA,NA,NA,NA,"the internet",NA,"independent","never belonged","same st,dif city","married","white","white","pacific","male",43,0
"214",11,"lt high school",NA,NA,"agree",NA,NA,NA,"have not done it and would never do  it","never","tv",NA,"not str republican","never belonged","same city","divorced","white","white","pacific","male",52,0
"215",12,"high school","$8000 to 9999","$500,000 to $1 million","disagree",NA,"strongly agree","strongly disagree","have done it in the past year","everyday","newspapers","several times a day","not str democrat",NA,"same st,dif city","never married","white","white","pacific","male",59,1
"216",20,"graduate",NA,NA,"disagree",NA,"strongly agree","strongly disagree","have done it in the past year","everyday",NA,"several times a day","strong democrat","belong but dont participate","different state","divorced","white","white","pacific","male",69,1
"217",14,"junior college","$25000 or more","$40,000 to $75,000",NA,"neither agree nor disagree",NA,"neither agree nor disagree","have done it in the more distant past",NA,"friends colleagues","less than 1 day a week","strong democrat","belong and actively participate","same st,dif city","married","white","white","pacific","male",37,1
"218",16,"bachelor",NA,NA,"strongly agree","strongly agree","disagree","neither agree nor disagree","have not done it and would never do  it","everyday",NA,"3-4 days a week","not str democrat","belong but dont participate","same city","married","white","white","pacific","female",41,0
"219",16,"bachelor","$7000 to 7999",NA,NA,NA,NA,"disagree","have not done it but might do it","few times a week","newspapers","once a day","ind,near dem","belong but dont participate","same st,dif city","divorced","white","white","pacific","female",59,1
"220",15,"high school","$15000 - 19999","$5,000 to $20,000","agree","agree",NA,NA,NA,"never",NA,NA,"other party","used to belong","same st,dif city","never married","white","white","pacific","female",23,0
"221",16,"bachelor","$10000 - 14999",NA,NA,"disagree",NA,"disagree",NA,"few times a week",NA,"several times a day","ind,near dem","belong but dont participate","same st,dif city","never married","white","white","pacific","female",30,1
"222",5,"lt high school",NA,NA,"agree","agree","disagree","agree","have not done it and would never do  it","never","other","1-2 days a week","not str democrat",NA,"different state","never married","white","white","pacific","female",46,0
"223",18,"graduate","$8000 to 9999",NA,NA,NA,"neither agree nor disagree","agree","have not done it and would never do  it","few times a week","the internet","1-2 days a week","not str democrat","belong and actively participate","same st,dif city","never married","hispanic","other","pacific","female",51,0
"224",19,"graduate","$25000 or more","above $10 million","disagree","neither agree nor disagree",NA,NA,"have not done it but might do it","everyday",NA,"once a day","not str republican","belong but dont participate","same st,dif city","married","white","white","pacific","female",61,1
"225",13,"high school","$10000 - 14999",NA,NA,"strongly agree","strongly agree","strongly agree","","less than once wk","other","3-4 days a week","not str republican","belong but dont participate","different state","married","white","white","pacific","female",45,0
"226",2,"lt high school",NA,NA,NA,"strongly disagree","strongly disagree","neither agree nor disagree","have not done it and would never do  it","never",NA,"never","not str democrat",NA,"different state","married","hispanic","other","pacific","male",72,0
"227",7,"lt high school","$20000 - 24999",NA,NA,NA,NA,NA,NA,NA,"tv","never","not str democrat","belong but dont participate","different state","married","white","white","pacific","female",79,1
"228",16,"bachelor","$8000 to 9999","above $10 million","neither agree nor disagree",NA,NA,"disagree",NA,NA,NA,NA,"ind,near rep","used to belong","different state","married","chinese","other","pacific","female",75,0
"229",12,"high school","$6000 to 6999","above $10 million","disagree",NA,"strongly disagree",NA,"have done it in the more distant past","everyday","friends colleagues","never","strong republican",NA,"different state","widowed","white","white","pacific","male",89,1
"230",12,"high school","$4000 to 4999","$40,000 to $75,000","neither agree nor disagree","neither agree nor disagree","disagree","disagree","have not done it but might do it","less than once wk","radio","","independent","used to belong","same st,dif city","never married","hispanic","other","pacific","female",41,1
"231",16,"bachelor",NA,"$75,000 to $100,000",NA,"neither agree nor disagree","neither agree nor disagree","disagree","have done it in the past year",NA,"magazines","less than 1 day a week","ind,near rep","used to belong","same st,dif city","married","chinese","other","pacific","male",32,1
"232",16,"bachelor","$15000 - 19999",NA,NA,NA,NA,"neither agree nor disagree","have done it in the more distant past","once a week","family","3-4 days a week",NA,"used to belong","different state","married","vietnamese","other","pacific","female",58,1
"233",16,"bachelor","$6000 to 6999","$75,000 to $100,000",NA,NA,"agree",NA,"have done it in the past year","everyday",NA,"","ind,near rep","belong but dont participate","same st,dif city","married","white","white","pacific","male",72,1
"234",14,"junior college",NA,NA,NA,"agree","agree","disagree",NA,"everyday","government agencies","once a day","not str republican",NA,"different state","divorced","white","white","pacific","female",66,1
"235",14,"high school","$6000 to 6999",NA,NA,"neither agree nor disagree","strongly disagree","neither agree nor disagree","have not done it and would never do  it","once a week","the internet",NA,"ind,near dem","never belonged","same city","never married","black or african american","black","pacific","female",21,1
"236",12,"high school","$10000 - 14999",NA,"strongly agree",NA,"strongly agree",NA,NA,"never","radio",NA,"ind,near rep",NA,"same city","divorced","white","white","pacific","female",45,1
"237",13,"high school",NA,NA,NA,"strongly agree","strongly disagree",NA,"have not done it but might do it","everyday","family","never","independent","never belonged","same st,dif city","married","white","white","pacific","male",58,0
"238",12,"high school",NA,NA,NA,"strongly agree","agree",NA,NA,NA,"family","3-4 days a week","ind,near rep",NA,"same st,dif city","married","white","white","pacific","female",50,1
"239",20,"graduate",NA,"above $10 million",NA,NA,NA,NA,"have not done it and would never do  it","everyday","newspapers","less than 1 day a week","strong democrat",NA,"same st,dif city","divorced","white","white","pacific","female",55,1
"240",14,"junior college","$20000 - 24999",NA,"strongly disagree",NA,"disagree",NA,"have not done it but might do it",NA,NA,"never","independent","used to belong","same st,dif city","divorced",NA,"white","pacific","male",43,1
"241",13,"high school","$10000 - 14999",NA,NA,"disagree",NA,"disagree",NA,"less than once wk","friends colleagues","less than 1 day a week","independent",NA,"same city","married","white","white","pacific","female",31,1
"242",13,"high school","$10000 - 14999",NA,NA,NA,NA,"disagree","have done it in the past year",NA,"the internet",NA,"strong democrat","belong but dont participate","same st,dif city","never married","white","white","pacific","female",30,1
"243",11,"lt high school",NA,"$100,000 to $150,000","neither agree nor disagree","disagree",NA,"disagree","have done it in the more distant past","less than once wk","other","several times a day","strong democrat","belong and actively participate","same city","never married","black or african american","black","pacific","female",42,1
"244",10,"lt high school",NA,"less than $5,000","neither agree nor disagree",NA,NA,"agree",NA,NA,NA,NA,"independent","never belonged","same city","married","hispanic","other","pacific","female",25,1
"245",11,"lt high school",NA,"above $10 million","agree","strongly agree",NA,"disagree","have not done it and would never do  it",NA,NA,NA,"not str democrat",NA,"different state","divorced","white","white","pacific","female",59,1
"246",11,"lt high school",NA,"$1 million to $2 million","disagree","strongly disagree",NA,"neither agree nor disagree",NA,"few times a week",NA,"once a day","not str republican",NA,"same st,dif city","widowed","white","white","pacific","female",80,1
"247",13,"lt high school","$4000 to 4999",NA,NA,"strongly disagree",NA,"disagree","have done it in the more distant past","less than once wk",NA,"less than 1 day a week","independent",NA,"same city","married","white","white","pacific","female",40,0
"248",18,"graduate",NA,"$2 million to $3 million",NA,"disagree",NA,"neither agree nor disagree","have not done it and would never do  it","everyday","other","3-4 days a week","ind,near dem","belong but dont participate","different state","separated","white","white","pacific","male",78,0
"249",12,"high school","$20000 - 24999","$5,000 to $20,000",NA,"agree",NA,NA,NA,"never","radio","5-6 days a week","not str democrat","belong and actively participate","different state","widowed","white","white","pacific","female",78,0
"250",18,"graduate","$8000 to 9999","$100,000 to $150,000","neither agree nor disagree",NA,"agree","strongly disagree",NA,"everyday","family","never","strong republican","belong and actively participate","same st,dif city","married","white","white","pacific","female",46,1
"251",16,"bachelor","$4000 to 4999","$1 million to $2 million",NA,"strongly agree","disagree","disagree","have not done it and would never do  it","everyday","books other printed material",NA,"strong republican","belong but dont participate","different state","married","white","white","pacific","male",81,1
"252",16,"bachelor",NA,NA,NA,"strongly agree",NA,"disagree",NA,"less than once wk","radio",NA,"independent","used to belong","different state","married","black or african american","black","pacific","female",63,1
"253",12,"high school",NA,"$250,000 to $500,000",NA,"disagree","strongly disagree",NA,NA,NA,NA,NA,"strong democrat","belong but dont participate","same city","divorced","black or african american","black","pacific","male",48,1
"254",12,"high school","$5000 to 5999","less than $5,000","agree",NA,"strongly agree",NA,"have not done it and would never do  it","few times a week","tv","1-2 days a week","not str democrat",NA,"same st,dif city","never married","hispanic","other","pacific","female",48,1
"255",13,"high school","$10000 - 14999",NA,NA,"disagree",NA,NA,NA,"never","tv",NA,"strong democrat",NA,"different state","married","black or african american","black","pacific","male",57,1
"256",14,"high school","$10000 - 14999",NA,"agree","strongly agree","disagree","agree",NA,"everyday",NA,NA,"strong democrat",NA,"same st,dif city","never married","white","white","pacific","female",29,1
"257",14,"high school",NA,"less than $5,000",NA,"strongly disagree","strongly agree","neither agree nor disagree",NA,NA,"the internet",NA,"ind,near dem",NA,"same st,dif city","separated","white","white","pacific","female",30,0
"258",16,"bachelor","$25000 or more",NA,"neither agree nor disagree","disagree","neither agree nor disagree",NA,"have done it in the past year","never",NA,NA,NA,NA,"same city","never married","black or african american","black","pacific","female",29,1
"259",14,"junior college","$20000 - 24999","less than $5,000","neither agree nor disagree","neither agree nor disagree",NA,"neither agree nor disagree","have not done it and would never do  it","never",NA,NA,"strong democrat",NA,"different state","divorced","black or african american","black","pacific","female",50,1
"260",13,"high school",NA,NA,NA,"neither agree nor disagree",NA,"strongly agree",NA,"once a week",NA,"less than 1 day a week","independent",NA,"same city","married","white","white","pacific","male",30,0
"261",19,"graduate","$25000 or more","$40,000 to $75,000",NA,NA,"neither agree nor disagree","disagree","have done it in the past year","once a week",NA,"several times a day",NA,"belong but dont participate","same st,dif city","married","white","white","pacific","male",32,0
"262",19,"graduate","$15000 - 19999","$1 million to $2 million",NA,"neither agree nor disagree","neither agree nor disagree","agree","have not done it and would never do  it",NA,"family","never","strong democrat",NA,"same st,dif city","divorced","white","white","pacific","female",85,1
"263",12,"high school","$25000 or more","$150,000 to $250,000","strongly agree","strongly agree",NA,NA,"have not done it and would never do  it","never","magazines",NA,"independent",NA,"same st,dif city","divorced","white","white","pacific","male",51,0
"264",12,"high school","$8000 to 9999",NA,"strongly disagree",NA,NA,"agree","have done it in the more distant past",NA,NA,"3-4 days a week","ind,near dem",NA,"different state","separated","white","white","pacific","female",26,1
"265",20,"bachelor","$25000 or more",NA,"strongly agree","strongly agree","strongly agree","disagree",NA,NA,NA,NA,"other party",NA,"different state","married","white","white","pacific","male",38,1
"266",10,"lt high school","$10000 - 14999","$40,000 to $75,000","strongly disagree","strongly disagree","disagree","disagree",NA,"never",NA,NA,"independent","used to belong","same st,dif city","married","hispanic","other","pacific","female",39,1
"267",14,"high school","$15000 - 19999",NA,NA,"disagree","disagree","agree",NA,NA,"friends colleagues","1-2 days a week","ind,near dem",NA,"same city","never married","white","white","pacific","male",20,0
"268",15,"high school",NA,NA,"strongly agree","strongly agree","strongly agree","strongly agree","have done it in the past year","never",NA,NA,"ind,near rep",NA,"same st,dif city","married","white","white","e. nor. central","female",39,1
"269",12,"high school","$10000 - 14999",NA,"strongly agree",NA,NA,"strongly disagree","have done it in the past year","everyday","newspapers",NA,"strong democrat",NA,"same city","married","white","white","e. nor. central","female",57,1
"270",12,"high school","$4000 to 4999","above $10 million","agree","strongly agree",NA,"disagree",NA,"everyday","newspapers","once a day","strong republican",NA,"different state","widowed","white","white","e. nor. central","female",87,0
"271",10,"lt high school",NA,NA,NA,"strongly disagree","agree","disagree","have not done it but might do it","once a week",NA,"once a day","ind,near rep",NA,"same st,dif city","married","white","white","e. nor. central","female",81,1
"272",10,"high school","$3000 to 3999",NA,"agree","agree",NA,NA,"have not done it but might do it","once a week","government agencies","less than 1 day a week","ind,near rep","never belonged","same city","never married","white","white","e. nor. central","male",31,0
"273",16,"bachelor","$6000 to 6999","$250,000 to $500,000",NA,"disagree","agree",NA,"have not done it but might do it",NA,"tv","never","strong republican","belong but dont participate","same city","married","white","white","e. nor. central","female",61,1
"274",15,"high school",NA,"$250,000 to $500,000",NA,"disagree","agree","disagree","have not done it but might do it","everyday",NA,"once a day","independent",NA,"same city","married","white","white","e. nor. central","female",31,1
"275",12,"high school","$4000 to 4999","$20,000 to $40,000",NA,NA,NA,NA,NA,"few times a week","friends colleagues","1-2 days a week","strong democrat","belong but dont participate","same st,dif city","married","hispanic","other","e. nor. central","male",61,1
"276",12,"high school","$10000 - 14999","$20,000 to $40,000","strongly agree",NA,"strongly agree",NA,"have done it in the more distant past","once a week",NA,NA,"ind,near dem","never belonged","same st,dif city","widowed","white","white","e. nor. central","female",39,0
"277",19,"bachelor","$1000 to 2999",NA,"disagree","strongly disagree",NA,NA,"have not done it but might do it",NA,"radio","3-4 days a week","ind,near rep","used to belong","different state","never married","white","white","e. nor. central","male",84,1
"278",16,"bachelor",NA,"$250,000 to $500,000","strongly agree","strongly agree","strongly agree","strongly disagree","have not done it but might do it","less than once wk","radio",NA,"ind,near dem","belong but dont participate","different state","married","white","white","e. nor. central","female",54,1
"279",12,"high school","$6000 to 6999","$5,000 to $20,000","agree",NA,"strongly disagree","agree","have not done it but might do it","few times a week","the internet",NA,"ind,near dem",NA,"same st,dif city","never married","hispanic","other","e. nor. central","male",26,0
"280",16,"graduate","$25000 or more",NA,"disagree",NA,NA,NA,"have done it in the past year","everyday",NA,NA,"independent",NA,"different state","married","white","white","e. nor. central","female",84,1
"281",16,"bachelor",NA,"$2 million to $3 million",NA,NA,"strongly agree",NA,NA,"everyday","newspapers","several times a day","strong democrat",NA,"different state","married","black or african american","black","e. nor. central","male",60,1
"282",16,"bachelor",NA,"$250,000 to $500,000",NA,"disagree",NA,"disagree","have not done it and would never do  it","less than once wk","tv",NA,"independent","never belonged","same city","never married","white","white","e. nor. central","female",43,1
"283",16,"bachelor",NA,"$500,000 to $1 million",NA,"agree",NA,"disagree","have not done it but might do it",NA,NA,NA,"strong democrat",NA,"same city","divorced","white","white","e. nor. central","male",65,1
"284",19,"graduate","$25000 or more","$40,000 to $75,000","strongly disagree","strongly disagree","disagree",NA,NA,"few times a week",NA,"never","not str democrat",NA,"different state","divorced","black or african american","black","e. nor. central","female",34,1
"285",8,"lt high school","$5000 to 5999",NA,"agree","agree","agree","agree",NA,NA,"tv","several times a day","strong democrat","belong and actively participate","different state","widowed","white","white","e. nor. central","female",78,1
"286",14,"high school",NA,NA,"disagree","strongly disagree","strongly agree","neither agree nor disagree","have not done it and would never do  it",NA,"radio",NA,"ind,near dem",NA,"different state","divorced","white","white","e. nor. central","female",85,0
"287",11,"lt high school","$5000 to 5999","$2 million to $3 million","disagree","agree","agree","neither agree nor disagree",NA,"few times a week","other","several times a day","not str democrat",NA,"different state","widowed","white","white","e. nor. central","female",73,1
"288",15,"high school",NA,NA,"strongly agree",NA,NA,NA,"have done it in the past year",NA,NA,"once a day","not str democrat",NA,"same city","never married","white","white","e. nor. central","female",25,0
"289",20,"graduate","$25000 or more",NA,"strongly disagree",NA,"neither agree nor disagree","disagree",NA,"never","the internet","several times a day","independent","belong and actively participate","same st,dif city","married","white","white","e. nor. central","female",30,1
"290",12,"high school","$5000 to 5999",NA,"agree",NA,"agree","neither agree nor disagree",NA,"less than once wk",NA,NA,"strong democrat","belong and actively participate","same city","divorced","black or african american","black","e. nor. central","female",46,1
"291",14,"high school","$25000 or more","$100,000 to $150,000",NA,NA,"disagree",NA,NA,NA,"the internet",NA,"not str democrat",NA,"same city","never married","black or african american","black","e. nor. central","female",28,1
"292",12,"high school","$3000 to 3999",NA,NA,"strongly agree","strongly agree","agree",NA,"once a week",NA,"less than 1 day a week","not str democrat",NA,"same city","widowed","black or african american","black","e. nor. central","female",38,0
"293",12,"high school","lt $1000",NA,NA,NA,"agree","strongly agree",NA,NA,"radio","never","independent",NA,"same city","never married","black or african american","black","e. nor. central","male",25,0
"294",20,"bachelor",NA,"$500,000 to $1 million","disagree","neither agree nor disagree",NA,"strongly agree","have done it in the past year","everyday","newspapers","1-2 days a week","strong democrat",NA,"different state","married","filipino","other","e. nor. central","male",55,1
"295",10,"lt high school","$4000 to 4999","$5,000 to $20,000","neither agree nor disagree","neither agree nor disagree",NA,"disagree","have done it in the more distant past","less than once wk","books other printed material","","ind,near rep",NA,"same city","never married","hispanic","other","e. nor. central","female",31,0
"296",19,"bachelor","$25000 or more","$40,000 to $75,000","disagree",NA,"agree","disagree","have done it in the past year","everyday",NA,NA,"not str democrat","belong but dont participate","same city","never married","white","white","e. nor. central","male",27,1
"297",16,"bachelor","$25000 or more","$250,000 to $500,000","disagree",NA,NA,NA,"have not done it but might do it","everyday",NA,NA,"strong republican",NA,"same st,dif city","divorced","white","white","e. nor. central","male",62,1
"298",17,"graduate","$15000 - 19999","$2 million to $3 million",NA,"agree","disagree","agree",NA,"once a week","newspapers",NA,"strong democrat","never belonged","same st,dif city","married","white","white","e. nor. central","female",70,1
"299",16,"bachelor","$15000 - 19999",NA,NA,NA,"disagree","strongly agree","have not done it and would never do  it",NA,NA,"1-2 days a week","not str democrat","belong but dont participate","same st,dif city","married","white","white","e. nor. central","male",58,1
"300",14,"junior college","$10000 - 14999",NA,NA,NA,NA,"strongly agree",NA,"never","newspapers","1-2 days a week","independent","never belonged","same st,dif city","married","filipino","other","e. nor. central","female",54,1
"301",12,"high school","$5000 to 5999",NA,"strongly agree","strongly agree",NA,"strongly disagree","have done it in the past year",NA,"newspapers",NA,"independent","never belonged","same st,dif city","married","american indian or alaska native","other","e. nor. central","female",50,1
"302",9,"high school","$20000 - 24999",NA,"neither agree nor disagree",NA,"strongly agree","neither agree nor disagree",NA,"never","other","less than 1 day a week","strong democrat","belong but dont participate","different state","married","white","white","e. nor. central","female",36,1
"303",15,"high school","$25000 or more",NA,"agree","disagree","strongly agree","disagree","have not done it but might do it",NA,"the internet",NA,"ind,near dem",NA,"different state","divorced","hispanic","other","e. nor. central","female",34,0
"304",12,"high school",NA,NA,"agree",NA,NA,"agree",NA,NA,"magazines","less than 1 day a week","independent","never belonged","different state","divorced","chinese","other","e. nor. central","female",39,0
"305",15,"high school","$15000 - 19999","$2 million to $3 million",NA,"disagree","disagree","agree","have not done it and would never do  it","never","magazines","3-4 days a week","not str democrat","used to belong","different state","married","chinese","other","e. nor. central","male",66,1
"306",19,"graduate","$25000 or more",NA,NA,NA,NA,NA,NA,NA,NA,"1-2 days a week","strong democrat",NA,"same st,dif city","divorced","white","white","e. nor. central","female",73,1
"307",12,"high school","$7000 to 7999","$40,000 to $75,000",NA,"agree","neither agree nor disagree","agree",NA,"once a week","tv",NA,"not str democrat",NA,"same city","never married","white","white","e. nor. central","female",53,0
"308",16,"bachelor","$25000 or more","$20,000 to $40,000","agree","strongly agree",NA,NA,"have not done it but might do it","once a week","tv","",NA,"used to belong","different state","married","white","white","e. nor. central","male",41,1
"309",17,"bachelor",NA,NA,"disagree",NA,"strongly agree","neither agree nor disagree","have not done it but might do it","everyday","other",NA,"independent",NA,"different state","never married","black or african american","black","e. nor. central","male",35,1
"310",13,"junior college",NA,"$100,000 to $150,000","strongly disagree","neither agree nor disagree",NA,"strongly disagree","have done it in the more distant past","everyday",NA,NA,"not str republican","belong but dont participate","same city","never married","white","white","e. nor. central","female",23,1
"311",6,"lt high school","$15000 - 19999",NA,"agree",NA,"strongly agree",NA,"have not done it and would never do  it","less than once wk","tv",NA,"independent",NA,"different state","married","hispanic","other","e. nor. central","female",36,0
"312",10,"high school","$1000 to 2999",NA,"strongly agree","strongly agree",NA,NA,"have done it in the more distant past","never","family","5-6 days a week","not str democrat","used to belong","same city","never married","black or african american","black","e. nor. central","male",23,0
"313",18,"graduate",NA,NA,NA,"strongly agree",NA,NA,NA,NA,NA,"5-6 days a week","strong republican","belong but dont participate","different state","married","white","white","e. nor. central","female",64,1
"314",18,"high school",NA,"$5,000 to $20,000","neither agree nor disagree","neither agree nor disagree",NA,"agree",NA,"everyday","newspapers","1-2 days a week","ind,near dem","never belonged","different state","never married","asian indian","other","e. nor. central","female",39,1
"315",20,"graduate",NA,NA,NA,NA,"strongly agree","disagree","have not done it and would never do  it","everyday","newspapers",NA,"strong democrat","belong but dont participate","same st,dif city","married","white","white","e. nor. central","male",82,1
"316",18,"bachelor",NA,NA,"disagree","neither agree nor disagree",NA,NA,NA,"everyday","the internet","several times a day","not str democrat","belong but dont participate","different state","married","white","white","e. nor. central","male",50,1
"317",16,"bachelor",NA,"$2 million to $3 million","disagree","agree","strongly disagree",NA,"have not done it and would never do  it","everyday","newspapers","several times a day","strong democrat",NA,"same st,dif city","married","white","white","e. nor. central","male",74,1
"318",17,"bachelor","$10000 - 14999","$2 million to $3 million","strongly agree","strongly agree","strongly agree","disagree",NA,"once a week","the internet",NA,"other party","belong and actively participate","same st,dif city","married","white","white","e. nor. central","female",45,0
"319",8,"lt high school","$25000 or more",NA,"agree","strongly agree",NA,NA,NA,"once a week","family","once a day","not str republican","never belonged","different state","divorced","white","white","e. nor. central","male",47,1
"320",12,"high school","lt $1000",NA,"agree",NA,NA,NA,"have not done it and would never do  it","never","tv",NA,"strong republican",NA,"same st,dif city","widowed","white","white","e. nor. central","female",69,1
"321",12,"high school",NA,"$20,000 to $40,000","strongly agree",NA,"agree",NA,NA,"once a week",NA,NA,"not str republican","belong and actively participate","same st,dif city","married","white","white","e. nor. central","male",36,0
"322",15,"high school",NA,"$250,000 to $500,000","strongly agree","strongly agree",NA,"strongly disagree",NA,"everyday","government agencies",NA,"not str republican",NA,"same city","married","white","white","e. nor. central","male",38,1
"323",20,"graduate","$25000 or more","$2 million to $3 million","strongly disagree","strongly disagree",NA,"strongly disagree",NA,"everyday",NA,NA,"strong democrat","belong and actively participate","same city","married","white","white","e. nor. central","female",42,1
"324",18,"graduate","$25000 or more",NA,"strongly agree","neither agree nor disagree",NA,NA,"have not done it and would never do  it",NA,"newspapers",NA,"not str republican","never belonged","same st,dif city","married","white","white","e. nor. central","male",70,1
"325",16,"bachelor","$1000 to 2999",NA,NA,"strongly agree","strongly agree","disagree","have done it in the past year",NA,"radio","5-6 days a week","ind,near rep","used to belong","different state","married","white","white","e. nor. central","male",70,1
"326",13,"high school","$15000 - 19999","$75,000 to $100,000","agree","strongly agree",NA,NA,"have not done it and would never do  it","once a week","magazines",NA,"strong republican","used to belong","same st,dif city","married","white","white","e. nor. central","female",53,1
